Language,n
     ,2415
 A - F,1
 Akan,1
 Arabic,1
 English,2607
 Farsi,1
 Gujarati,17
 Hindi,1
 Hungarian,4
 Italian,1
 Polish,12
 Portuguese,1
 Punjabi,23
 Romanian,1
 Russian,2
 Slovak,1
 Urdu,34
"	315570003",54
(Ua0HJ),3
(Xa6ev),19
(XaG5s),1
(XaG5t),2072
(XaG5x),1
(XaG61),14
(XaG62),5
(XaG64),5
(XaJD5),2
(XaJD6),1
(XaJDK),2
(XaJDL),1
(XaJDM),1
(XaJDP),7
(XaJP1),1
(XaP49),27
(XaP9z),3
(XaPFh),3
(XaPFT),1
(XaPFy),3
(XaPG2),1
(Y0b8d),1
[N - Z (subdivided)],1
134441005,3
161144000,1
297375000,1
297468002,1
312954003,816
313422009,1
315566006,137
315567002,228
315568007,34
315569004,40
315570003,62543
315571004,32
315572006,70
315575008,25
315578005,8
315579002,788
315580004,67
315581000,323
315582007,158
315583002,5
315584008,38
315585009,8
315587001,18
315588006,405
315589003,1
370157003,83
395108007,79
395109004,22
395110009,8
407642001,54
407643006,26
407648002,18
407652002,29
407654001,3
407656004,102
407657008,46
407659006,3
407661002,2
408514009,1
408516006,4
408517002,15
408518007,5
408519004,7
408520005,1
408521009,2
408526004,2
40852800,2
408528003,11
408529006,4
408530001,1
408531002,17
408532009,6
408533004,1
408535006,1
414640006,3
444947004,2
5.04E+14,3
5.12E+14,2
609094002,2
698653002,3
698659003,6
698662000,1
698667006,2
698672002,2
698676004,2
698678003,127
698685004,5
698885002,1
698888000,1
698894008,3
698898006,3
698900008,37
698901007,1
698906002,1
698909009,78
698910004,9
698916005,2
698917001,1
698919003,1
698920009,104
698921008,3
698925004,1
698930000,1
699945003,33
764526007,53
9.28E+13,1
9.71E+14,4
9.71E+14,1
9.70E+14,1
9.71E+14,23
9.10241E+14,165
af,2
AFRIKAANS,2
ak,1
Albanian,4
ALBANIAN,15
ar,4
Arabic,61
ARABIC,320
ARMENIAN,1
Bengali,8
BENGALI,44
bg,11
bn,9
bs,1
Bulgarian,36
BULGARIAN,63
Chinese,1
CROATIAN,3
cs,1
Czech,52
CZECH,224
da,2
DANISH,1
de,5
DUTCH,2
el,9
en,5408
English,25479
ENGLISH,91262
es,5
Estonian,1
et,1
Farsi,4
Finnish,1
FINNISH,4
fr,10
French,8
FRENCH,59
ga,1
gd,1
Georgian,1
GEORGIAN,4
German,3
GERMAN,10
Greek,3
GREEK,32
gu,1
Gujarati,59
hi,3
Hindi,11
HINDI,22
hu,3
Hungarian,38
HUNGARIAN,58
ICELANDIC,1
ig,1
Igbo,1
Irish,3
IRISH,11
it,18
Italian,16
ITALIAN,47
JAPANESE,2
Kurdish,5
KURDISH,16
Latvian,3
LATVIAN,1
LINGALA,2
Lithuanian,42
LITHUANIAN,68
lt,20
Main spoken language,29
Main spoken language A - F,1
Main spoken language Albanian,1
Main spoken language Arabic,1
Main spoken language Bengali,1
Main spoken language Cantonese,1
Main spoken language Croatian,1
Main spoken language English,1717
Main spoken language Gujarati,10
Main spoken language Hindi,1
Main spoken language Pashto,1
Main spoken language Polish,8
Main spoken language Punjabi,18
Main spoken language Urdu,27
Mainspokenlanguage,3
MainspokenlanguageBengali,1
MainspokenlanguageBosnian,1
MainspokenlanguageCroatian,3
MainspokenlanguageEnglish,2279
MainspokenlanguageFarsi,2
MainspokenlanguageGerman,1
MainspokenlanguageGujarati,32
MainspokenlanguageHindi,1
MainspokenlanguageHungarian,3
MainspokenlanguageMandarin,1
MainspokenlanguagePolish,3
MainspokenlanguagePunjabi,36
MainspokenlanguageSlovenian,1
MainspokenlanguageSpanish,1
MainspokenlanguageTurkish,1
MainspokenlanguageUrdu,19
Malayalam,1
MALAYALAM,5
Mandarin,3
ml,3
mt,1
ne,9
nl,1
NOT SPECIFIED,22703
NS,1
Null,11
NULL,99026
pa,9
PANJABI,7
PERSIAN,21
pl,45
Polish,323
POLISH,577
Portuguese,58
PORTUGUESE,98
pt,10
Punjabi,67
ro,23
Romanian,62
ROMANIAN,148
ru,5
Russian,48
RUSSIAN,95
SERBIAN,4
Sinhala,1
SINHALA,3
sk,5
Slovak,15
SLOVAK,51
SLOVENIAN,2
sn,4
so,1
Somali,6
SOMALI,40
Spanish,35
SPANISH,121
sq,19
sr,2
Swahili,2
SWAHILI,2
ta,2
Tamil,16
TAMIL,36
th,2
Thai,1
THAI,4
tl,1
tr,7
Turkish,7
TURKISH,52
Twi,1
UKRAINIAN,1
ur,4
Urdu,104
URDU,38
Using British Sign Language,4
USING BRITISH SIGN LANGUAGE,16
vi,1
Vietnamese,13
VIETNAMESE,28
yo,1
zh,1
zu,1
NA,138755
